ID;date;cost;CTR;Click;View;Join;Lead;Sale;Conversion for lead;Conversion for sale;Revenue;Cost per lead
11626893;01.03.2019;179,62;5,43;69,00;1271,00;26,00;1;0;0,01;0,00;0;179,62
11626893;02.03.2019;123,43;5,91;42,00;711,00;18,00;5;1;0,12;0,20;1500;24,69
11626893;03.03.2019;125,47;9,14;54,00;591,00;24,00;3;1;0,06;0,33;1500;41,82
11626893;04.03.2019;49,69;9,09;30,00;330,00;8,00;3;1;0,10;0,33;1500;16,56
11626893;05.03.2019;64,99;7,37;23,00;312,00;10,00;3;0;0,13;0,00;0;21,66
11626893;06.03.2019;23,11;0,00;0,00;10,00;0,00;6;1;0,00;0,17;1500;3,85
11626893;14.03.2019;1,33;7,14;1,00;14,00;0,00;0;1;0,00;0,00;1500;0,00
11686227;06.03.2019;55,74;1,89;20,00;1057,00;2,00;0;0;0,00;0,00;0;0,00
11686227;07.03.2019;104,45;2,07;19,00;920,00;3,00;1;0;0,05;0,00;0;104,45
11686227;08.03.2019;35,39;2,40;12,00;501,00;4,00;2;0;0,17;0,00;0;17,70
11686227;09.03.2019;33,62;0,74;3,00;407,00;1,00;1;1;0,33;1,00;1500;33,62
11686227;10.03.2019;9,34;1,22;4,00;329,00;1,00;0;1;0,00;0,00;1500;0,00
11686227;11.03.2019;11,11;1,49;2,00;134,00;0,00;0;1;0,00;0,00;1500;0,00
11686227;12.03.2019;14,35;1,27;1,00;79,00;0,00;0;2;0,00;0,00;3000;0,00
11686227;13.03.2019;0,00;0,00;0,00;49,00;0,00;0;0;0,00;0,00;0;0,00
11686227;14.03.2019;4,65;0,00;0,00;19,00;0,00;5;1;0,00;0,20;1500;0,93
11759085;14.03.2019;124,00;4,02;66,00;1640,00;9,00;5;1;0,08;0,20;1500;24,80
11759085;15.03.2019;54,48;2,62;17,00;649,00;2,00;4;1;0,24;0,25;1500;13,62
11759085;16.03.2019;56,28;2,79;15,00;538,00;2,00;2;0;0,13;0,00;0;28,14
11759085;17.03.2019;145,08;5,62;63,00;1121,00;4,00;5;1;0,08;0,20;1500;29,02
11759085;18.03.2019;88,73;5,59;30,00;537,00;3,00;1;0;0,03;0,00;0;88,73
11759085;19.03.2019;65,75;7,51;22,00;293,00;3,00;0;0;0,00;0,00;0;0,00
11759085;21.03.2019;1,64;4,26;2,00;47,00;0,00;0;0;0,00;0,00;0;0,00
11759085;22.03.2019;1,14;5,41;2,00;37,00;0,00;0;1;0,00;0,00;1500;0,00
11759085;23.03.2019;1,93;1,71;4,00;234,00;0,00;0;2;0,00;0,00;3000;0,00
11759085;24.03.2019;131,29;3,76;50,00;1331,00;2,00;4;1;0,08;0,25;1500;32,82
11759085;25.03.2019;120,37;5,89;50,00;849,00;8,00;2;0;0,04;0,00;0;60,19
11759085;26.03.2019;126,85;8,93;56,00;627,00;7,00;5;1;0,09;0,20;1500;25,37
11759085;27.03.2019;120,81;6,13;47,00;767,00;1,00;3;1;0,06;0,33;1500;40,27
11759085;28.03.2019;185,71;7,45;61,00;819,00;2,00;4;1;0,07;0,25;1500;46,43
11759085;29.03.2019;118,78;6,75;38,00;563,00;2,00;7;2;0,18;0,29;3000;16,97
11759085;30.03.2019;68,25;5,32;16,00;301,00;0,00;1;0;0,06;0,00;0;68,25
11759085;31.03.2019;141,25;7,42;49,00;660,00;5,00;3;1;0,06;0,33;1500;47,08
11759085;01.04.2019;352,20;5,28;111,00;2103,00;8,00;2;0;0,02;0,00;0;176,10
11759085;02.04.2019;26,90;5,06;4,00;79,00;0,00;3;1;0,75;0,33;1500;8,97
